JourneyRef,DistanceMade,RecordedAt
2022-08-16-53379523,24689,2022-08-16 08:04:37
2022-08-16-53379523,25124,2022-08-16 08:04:52
2022-08-16-53379523,25555,2022-08-16 08:05:07
2022-08-16-53379523,25989,2022-08-16 08:05:22
2022-08-16-53379523,26417,2022-08-16 08:05:38
2022-08-16-53379523,26795,2022-08-16 08:05:52
2022-08-16-53379523,27337,2022-08-16 08:06:12
2022-08-16-53379523,27618,2022-08-16 08:06:22
2022-08-16-53379523,28033,2022-08-16 08:06:37
2022-08-16-53379523,28477,2022-08-16 08:06:53
2022-08-16-53379523,28848,2022-08-16 08:07:07
2022-08-16-53379523,29350,2022-08-16 08:07:27
2022-08-16-53379523,29629,2022-08-16 08:07:37
2022-08-16-53379523,30051,2022-08-16 08:07:52
2022-08-16-53379523,30456,2022-08-16 08:08:07
2022-08-16-53379523,30863,2022-08-16 08:08:22
2022-08-16-53379523,31286,2022-08-16 08:08:37
2022-08-16-53379523,31717,2022-08-16 08:08:52
2022-08-16-53379523,32142,2022-08-16 08:09:07
2022-08-16-53379523,32561,2022-08-16 08:09:22
2022-08-16-53379523,32974,2022-08-16 08:09:37
2022-08-16-53379523,33390,2022-08-16 08:09:52
2022-08-16-53379523,33947,2022-08-16 08:10:12
2022-08-16-53379523,34225,2022-08-16 08:10:22
2022-08-16-53379523,34643,2022-08-16 08:10:37
2022-08-16-53379523,35067,2022-08-16 08:10:52
2022-08-16-53379523,35489,2022-08-16 08:11:07
2022-08-16-53379523,35906,2022-08-16 08:11:22
2022-08-16-53379523,36301,2022-08-16 08:11:37
2022-08-16-53379523,36708,2022-08-16 08:11:52
2022-08-16-53379523,37125,2022-08-16 08:12:07
2022-08-16-53379523,37569,2022-08-16 08:12:23
2022-08-16-53379523,37987,2022-08-16 08:12:38
2022-08-16-53379523,38402,2022-08-16 08:12:53
2022-08-16-53379523,38791,2022-08-16 08:13:07
2022-08-16-53379523,39237,2022-08-16 08:13:23
2022-08-16-53379523,39619,2022-08-16 08:13:37
2022-08-16-53379523,40060,2022-08-16 08:13:53
2022-08-16-53379523,40444,2022-08-16 08:14:07
2022-08-16-53379523,40853,2022-08-16 08:14:22
2022-08-16-53379523,41250,2022-08-16 08:14:37
2022-08-16-53379523,41581,2022-08-16 08:14:52
2022-08-16-53379523,41829,2022-08-16 08:15:07
2022-08-16-53379523,42050,2022-08-16 08:15:22
2022-08-16-53379523,42156,2022-08-16 08:15:33
2022-08-16-53379523,42209,2022-08-16 08:15:50
2022-08-16-53379523,42368,2022-08-16 08:16:10
2022-08-16-53379523,42554,2022-08-16 08:16:24
2022-08-16-53379523,42808,2022-08-16 08:16:39
2022-08-16-53379523,43115,2022-08-16 08:16:55
2022-08-16-53379523,43390,2022-08-16 08:17:10
2022-08-16-53379523,43676,2022-08-16 08:17:24
2022-08-16-53379523,44005,2022-08-16 08:17:39
2022-08-16-53379523,44254,2022-08-16 08:17:49
2022-08-16-53379523,44804,2022-08-16 08:18:09
2022-08-16-53379523,45231,2022-08-16 08:18:24
2022-08-16-53379523,45508,2022-08-16 08:18:34
2022-08-16-53379523,46043,2022-08-16 08:18:55
2022-08-16-53379523,46242,2022-08-16 08:19:11
2022-08-16-53379523,46346,2022-08-16 08:19:23
2022-08-16-53379523,46399,2022-08-16 08:19:31
2022-08-16-53379523,46568,2022-08-16 08:19:54
2022-08-16-53379523,46734,2022-08-16 08:20:08
2022-08-16-53379523,47028,2022-08-16 08:20:23
2022-08-16-53379523,47396,2022-08-16 08:20:38
2022-08-16-53379523,47770,2022-08-16 08:20:53
2022-08-16-53379523,48166,2022-08-16 08:21:08
2022-08-16-53379523,48604,2022-08-16 08:21:24
2022-08-16-53379523,48935,2022-08-16 08:21:38
2022-08-16-53379523,49241,2022-08-16 08:21:53
2022-08-16-53379523,49588,2022-08-16 08:22:08
2022-08-16-53379523,49943,2022-08-16 08:22:23
2022-08-16-53379523,50293,2022-08-16 08:22:38
2022-08-16-53379523,50646,2022-08-16 08:22:53
2022-08-16-53379523,50999,2022-08-16 08:23:08
2022-08-16-53379523,51381,2022-08-16 08:23:23
2022-08-16-53379523,51776,2022-08-16 08:23:38
2022-08-16-53379523,52192,2022-08-16 08:23:53
2022-08-16-53379523,52606,2022-08-16 08:24:08
2022-08-16-53379523,53007,2022-08-16 08:24:23
2022-08-16-53379523,53396,2022-08-16 08:24:38
2022-08-16-53379523,53813,2022-08-16 08:24:53
2022-08-16-53379523,54255,2022-08-16 08:25:09
2022-08-16-53379523,54642,2022-08-16 08:25:23
2022-08-16-53379523,55069,2022-08-16 08:25:39
2022-08-16-53379523,55449,2022-08-16 08:25:53
2022-08-16-53379523,55889,2022-08-16 08:26:09
2022-08-16-53379523,56277,2022-08-16 08:26:23
